time,location,growth
2,USA,0
2,NL,0
2,Italy,0
2,China,1
2,Other,0
3,USA,0
3,NL,0
3,Italy,0
3,China,8
3,Other,0
4,USA,0
4,NL,0
4,Italy,0
4,China,16
4,Other,0
5,USA,0
5,NL,0
5,Italy,0
5,China,14
5,Other,0
6,USA,0
6,NL,0
6,Italy,0
6,China,26
6,Other,0
7,USA,0
7,NL,0
7,Italy,0
7,China,49
7,Other,0
8,USA,0
8,NL,0
8,Italy,0
8,China,2
8,Other,0
9,USA,0
9,NL,0
9,Italy,0
9,China,38
9,Other,0
10,USA,0
10,NL,0
10,Italy,0
10,China,42
10,Other,0
11,USA,0
11,NL,0
11,Italy,0
11,China,46
11,Other,0
12,USA,0
12,NL,0
12,Italy,0
12,China,102
12,Other,1
13,USA,0
13,NL,0
13,Italy,0
13,China,64
13,Other,0
14,USA,0
14,NL,0
14,Italy,0
14,China,66
14,Other,0
15,USA,0
15,NL,0
15,Italy,0
15,China,72
15,Other,0
16,USA,0
16,NL,0
16,Italy,0
16,China,70
16,Other,0
17,USA,0
17,NL,0
17,Italy,0
17,China,85
17,Other,0
18,USA,0
18,NL,0
18,Italy,0
18,China,87
18,Other,0
19,USA,0
19,NL,0
19,Italy,0
19,China,100
19,Other,0
20,USA,0
20,NL,0
20,Italy,0
20,China,107
20,Other,0
21,USA,0
21,NL,0
21,Italy,0
21,China,100
21,Other,0
22,USA,0
22,NL,0
22,Italy,0
22,China,5
22,Other,0
23,USA,0
23,NL,0
23,Italy,0
23,China,252
23,Other,1
24,USA,0
24,NL,0
24,Italy,0
24,China,152
24,Other,0
25,USA,0
25,NL,0
25,Italy,0
25,China,142
25,Other,1
26,USA,0
26,NL,0
26,Italy,0
26,China,103
26,Other,1
27,USA,0
27,NL,0
27,Italy,0
27,China,98
27,Other,0
28,USA,0
28,NL,0
28,Italy,0
28,China,139
28,Other,0
29,USA,0
29,NL,0
29,Italy,0
29,China,113
29,Other,2
30,USA,0
30,NL,0
30,Italy,0
30,China,122
30,Other,3
31,USA,0
31,NL,0
31,Italy,1
31,China,0
31,Other,3
32,USA,0
32,NL,0
32,Italy,1
32,China,205
32,Other,1
33,USA,0
33,NL,0
33,Italy,1
33,China,2
33,Other,8
34,USA,0
34,NL,0
34,Italy,4
34,China,150
34,Other,6
35,USA,0
35,NL,0
35,Italy,3
35,China,70
35,Other,6
36,USA,0
36,NL,0
36,Italy,2
36,China,52
36,Other,8
37,USA,0
37,NL,0
37,Italy,5
37,China,29
37,Other,10
38,USA,0
38,NL,0
38,Italy,4
38,China,44
38,Other,10
39,USA,1
39,NL,0
39,Italy,8
39,China,47
39,Other,13
40,USA,0
40,NL,0
40,Italy,5
40,China,35
40,Other,15
41,USA,5
41,NL,0
41,Italy,18
41,China,42
41,Other,24
42,USA,1
42,NL,0
42,Italy,27
42,China,33
42,Other,14
43,USA,4
43,NL,0
43,Italy,28
43,China,36
43,Other,26
44,USA,1
44,NL,0
44,Italy,41
44,China,32
44,Other,20
45,USA,2
45,NL,1
45,Italy,49
45,China,29
45,Other,31
46,USA,3
46,NL,0
46,Italy,36
46,China,28
46,Other,31
47,USA,4
47,NL,2
47,Italy,133
47,China,28
47,Other,77
48,USA,1
48,NL,0
48,Italy,97
48,China,23
48,Other,65
49,USA,6
49,NL,1
49,Italy,168
49,China,16
49,Other,83
50,USA,8
50,NL,1
50,Italy,196
50,China,22
50,Other,126
51,USA,4
51,NL,0
51,Italy,0
51,China,11
51,Other,90
52,USA,7
52,NL,5
52,Italy,439
52,China,8
52,Other,225
53,USA,7
53,NL,2
53,Italy,175
53,China,13
53,Other,218
54,USA,9
54,NL,8
54,Italy,368
54,China,10
54,Other,226
55,USA,22
55,NL,4
55,Italy,349
55,China,14
55,Other,297
56,USA,23
56,NL,19
56,Italy,345
56,China,13
56,Other,379
57,USA,10
57,NL,15
57,Italy,475
57,China,11
57,Other,317
58,USA,82
58,NL,19
58,Italy,427
58,China,8
58,Other,598
59,USA,44
59,NL,30
59,Italy,627
59,China,4
59,Other,727
60,USA,63
60,NL,30
60,Italy,793
60,China,6
60,Other,782
61,USA,110
61,NL,43
61,Italy,651
61,China,15
61,Other,859
62,USA,140
62,NL,34
62,Italy,601
62,China,0
62,Other,1079
63,USA,149
63,NL,63
63,Italy,743
63,China,7
63,Other,1158
64,USA,236
64,NL,80
64,Italy,683
64,China,4
64,Other,1553
65,USA,267
65,NL,78
65,Italy,712
65,China,6
65,Other,1726
66,USA,372
66,NL,112
66,Italy,919
66,China,5
66,Other,1820
67,USA,445
67,NL,93
67,Italy,889
67,China,3
67,Other,2024
68,USA,441
68,NL,132
68,Italy,756
68,China,5
68,Other,1939
