date,time,location,count
2020-01-22,1,China,17
2020-01-23,2,China,18
2020-01-24,3,China,26
2020-01-25,4,China,42
2020-01-26,5,China,56
2020-01-27,6,China,82
2020-01-28,7,China,131
2020-01-29,8,China,133
2020-01-30,9,China,171
2020-01-31,10,China,213
2020-02-01,11,China,259
2020-02-02,12,China,361
2020-02-03,13,China,425
2020-02-04,14,China,491
2020-02-05,15,China,563
2020-02-06,16,China,633
2020-02-07,17,China,718
2020-02-08,18,China,805
2020-02-09,19,China,905
2020-02-10,20,China,1012
2020-02-11,21,China,1112
2020-02-12,22,China,1117
2020-02-13,23,China,1369
2020-02-14,24,China,1521
2020-02-15,25,China,1663
2020-02-16,26,China,1766
2020-02-17,27,China,1864
2020-02-18,28,China,2003
2020-02-19,29,China,2116
2020-02-20,30,China,2238
2020-02-21,31,China,2238
2020-02-22,32,China,2443
2020-02-23,33,China,2445
2020-02-24,34,China,2595
2020-02-25,35,China,2665
2020-02-26,36,China,2717
2020-02-27,37,China,2746
2020-02-28,38,China,2790
2020-02-29,39,China,2837
2020-03-01,40,China,2872
2020-03-02,41,China,2914
2020-03-03,42,China,2947
2020-03-04,43,China,2983
2020-03-05,44,China,3015
2020-03-06,45,China,3044
2020-03-07,46,China,3072
2020-03-08,47,China,3100
2020-03-09,48,China,3123
2020-03-10,49,China,3139
2020-03-11,50,China,3161
2020-03-12,51,China,3172
2020-03-13,52,China,3180
2020-03-14,53,China,3193
2020-03-15,54,China,3203
2020-03-16,55,China,3217
2020-03-17,56,China,3230
2020-03-18,57,China,3241
2020-03-19,58,China,3249
2020-03-20,59,China,3253
2020-03-21,60,China,3259
2020-03-22,61,China,3274
2020-03-23,62,China,3274
2020-03-24,63,China,3281
2020-03-25,64,China,3285
2020-03-26,65,China,3291
2020-03-27,66,China,3296
2020-03-28,67,China,3299
2020-03-29,68,China,3304
2020-03-30,69,China,3308
2020-03-31,70,China,3309
2020-04-01,71,China,3316
2020-04-02,72,China,3322
2020-04-03,73,China,3326
2020-04-04,74,China,3330
2020-04-05,75,China,3333
2020-04-06,76,China,3335
2020-04-07,77,China,3335
2020-04-08,78,China,3337
2020-04-09,79,China,3339
2020-04-10,80,China,3340
2020-04-11,81,China,3343
2020-04-12,82,China,3343
2020-04-13,83,China,3345
2020-04-14,84,China,3345
2020-04-15,85,China,3346
2020-04-16,86,China,3346
2020-04-17,87,China,4636
2020-04-18,88,China,4636
2020-04-19,89,China,4636
2020-04-20,90,China,4636
2020-04-21,91,China,4636
2020-04-22,92,China,4636
2020-04-23,93,China,4636
2020-04-24,94,China,4636
2020-04-25,95,China,4636
2020-04-26,96,China,4637
2020-04-27,97,China,4637
2020-04-28,98,China,4637
2020-04-29,99,China,4637
2020-04-30,100,China,4637
2020-05-01,101,China,4637
2020-05-02,102,China,4637
2020-05-03,103,China,4637
2020-05-04,104,China,4637
2020-05-05,105,China,4637
2020-05-06,106,China,4637
2020-05-07,107,China,4637
2020-05-08,108,China,4637
2020-05-09,109,China,4637
2020-05-10,110,China,4637
2020-05-11,111,China,4637
2020-05-12,112,China,4637
2020-05-13,113,China,4637
2020-05-14,114,China,4637
2020-05-15,115,China,4637
2020-05-16,116,China,4638
2020-05-17,117,China,4638
2020-05-18,118,China,4638
2020-05-19,119,China,4638
2020-05-20,120,China,4638
2020-05-21,121,China,4638
2020-05-22,122,China,4638
2020-05-23,123,China,4638
2020-05-24,124,China,4638
2020-05-25,125,China,4638
2020-05-26,126,China,4638
2020-05-27,127,China,4638
2020-05-28,128,China,4638
2020-05-29,129,China,4638
2020-05-30,130,China,4638
2020-05-31,131,China,4638
2020-06-01,132,China,4638
2020-06-02,133,China,4638
2020-06-03,134,China,4638
2020-06-04,135,China,4638
2020-06-05,136,China,4638
2020-06-06,137,China,4638
2020-06-07,138,China,4638
2020-06-08,139,China,4638
2020-06-09,140,China,4638
2020-06-10,141,China,4638
2020-06-11,142,China,4638
2020-06-12,143,China,4638
2020-06-13,144,China,4638
2020-06-14,145,China,4638
2020-06-15,146,China,4638
2020-06-16,147,China,4638
2020-06-17,148,China,4638
2020-06-18,149,China,4638
2020-06-19,150,China,4638
2020-06-20,151,China,4639
2020-06-21,152,China,4639
2020-06-22,153,China,4639
2020-06-23,154,China,4640
2020-06-24,155,China,4640
2020-06-25,156,China,4641
2020-06-26,157,China,4641
2020-06-27,158,China,4641
2020-06-28,159,China,4641
2020-06-29,160,China,4641
2020-06-30,161,China,4641
2020-07-01,162,China,4641
2020-07-02,163,China,4641
2020-07-03,164,China,4641
2020-07-04,165,China,4641
2020-07-05,166,China,4641
2020-07-06,167,China,4641
2020-07-07,168,China,4641
2020-07-08,169,China,4641
2020-07-09,170,China,4641
2020-07-10,171,China,4641
2020-07-11,172,China,4641
2020-07-12,173,China,4641
2020-07-13,174,China,4641
2020-07-14,175,China,4642
2020-07-15,176,China,4644
2020-07-16,177,China,4644
2020-01-22,1,Iran,0.1
2020-01-23,2,Iran,0.1
2020-01-24,3,Iran,0.1
2020-01-25,4,Iran,0.1
2020-01-26,5,Iran,0.1
2020-01-27,6,Iran,0.1
2020-01-28,7,Iran,0.1
2020-01-29,8,Iran,0.1
2020-01-30,9,Iran,0.1
2020-01-31,10,Iran,0.1
2020-02-01,11,Iran,0.1
2020-02-02,12,Iran,0.1
2020-02-03,13,Iran,0.1
2020-02-04,14,Iran,0.1
2020-02-05,15,Iran,0.1
2020-02-06,16,Iran,0.1
2020-02-07,17,Iran,0.1
2020-02-08,18,Iran,0.1
2020-02-09,19,Iran,0.1
2020-02-10,20,Iran,0.1
2020-02-11,21,Iran,0.1
2020-02-12,22,Iran,0.1
2020-02-13,23,Iran,0.1
2020-02-14,24,Iran,0.1
2020-02-15,25,Iran,0.1
2020-02-16,26,Iran,0.1
2020-02-17,27,Iran,0.1
2020-02-18,28,Iran,0.1
2020-02-19,29,Iran,2
2020-02-20,30,Iran,2
2020-02-21,31,Iran,4
2020-02-22,32,Iran,5
2020-02-23,33,Iran,8
2020-02-24,34,Iran,12
2020-02-25,35,Iran,16
2020-02-26,36,Iran,19
2020-02-27,37,Iran,26
2020-02-28,38,Iran,34
2020-02-29,39,Iran,43
2020-03-01,40,Iran,54
2020-03-02,41,Iran,66
2020-03-03,42,Iran,77
2020-03-04,43,Iran,92
2020-03-05,44,Iran,107
2020-03-06,45,Iran,124
2020-03-07,46,Iran,145
2020-03-08,47,Iran,194
2020-03-09,48,Iran,237
2020-03-10,49,Iran,291
2020-03-11,50,Iran,354
2020-03-12,51,Iran,429
2020-03-13,52,Iran,514
2020-03-14,53,Iran,611
2020-03-15,54,Iran,724
2020-03-16,55,Iran,853
2020-03-17,56,Iran,988
2020-03-18,57,Iran,1135
2020-03-19,58,Iran,1284
2020-03-20,59,Iran,1433
2020-03-21,60,Iran,1556
2020-03-22,61,Iran,1685
2020-03-23,62,Iran,1812
2020-03-24,63,Iran,1934
2020-03-25,64,Iran,2077
2020-03-26,65,Iran,2234
2020-03-27,66,Iran,2378
2020-03-28,67,Iran,2517
2020-03-29,68,Iran,2640
2020-03-30,69,Iran,2757
2020-03-31,70,Iran,2898
2020-04-01,71,Iran,3036
2020-04-02,72,Iran,3160
2020-04-03,73,Iran,3294
2020-04-04,74,Iran,3452
2020-04-05,75,Iran,3603
2020-04-06,76,Iran,3739
2020-04-07,77,Iran,3872
2020-04-08,78,Iran,3993
2020-04-09,79,Iran,4110
2020-04-10,80,Iran,4232
2020-04-11,81,Iran,4357
2020-04-12,82,Iran,4474
2020-04-13,83,Iran,4585
2020-04-14,84,Iran,4683
2020-04-15,85,Iran,4777
2020-04-16,86,Iran,4869
2020-04-17,87,Iran,4958
2020-04-18,88,Iran,5031
2020-04-19,89,Iran,5118
2020-04-20,90,Iran,5209
2020-04-21,91,Iran,5297
2020-04-22,92,Iran,5391
2020-04-23,93,Iran,5481
2020-04-24,94,Iran,5574
2020-04-25,95,Iran,5650
2020-04-26,96,Iran,5710
2020-04-27,97,Iran,5806
2020-04-28,98,Iran,5877
2020-04-29,99,Iran,5957
2020-04-30,100,Iran,6028
2020-05-01,101,Iran,6091
2020-05-02,102,Iran,6156
2020-05-03,103,Iran,6203
2020-05-04,104,Iran,6277
2020-05-05,105,Iran,6340
2020-05-06,106,Iran,6418
2020-05-07,107,Iran,6486
2020-05-08,108,Iran,6541
2020-05-09,109,Iran,6589
2020-05-10,110,Iran,6640
2020-05-11,111,Iran,6685
2020-05-12,112,Iran,6733
2020-05-13,113,Iran,6783
2020-05-14,114,Iran,6854
2020-05-15,115,Iran,6902
2020-05-16,116,Iran,6937
2020-05-17,117,Iran,6988
2020-05-18,118,Iran,7057
2020-05-19,119,Iran,7119
2020-05-20,120,Iran,7183
2020-05-21,121,Iran,7249
2020-05-22,122,Iran,7300
2020-05-23,123,Iran,7359
