time,location,growth
2,China,95
2,India,0
2,Italy,0
2,NL,0
2,USA,0
2,Wave 3,0
2,Western Europe,0
3,China,277
3,India,0
3,Italy,0
3,NL,0
3,USA,1
3,Wave 3,0
3,Western Europe,2
4,China,486
4,India,0
4,Italy,0
4,NL,0
4,USA,0
4,Wave 3,0
4,Western Europe,1
5,China,669
5,India,0
5,Italy,0
5,NL,0
5,USA,3
5,Wave 3,0
5,Western Europe,0
6,China,802
6,India,0
6,Italy,0
6,NL,0
6,USA,0
6,Wave 3,0
6,Western Europe,1
7,China,2632
7,India,0
7,Italy,0
7,NL,0
7,USA,0
7,Wave 3,0
7,Western Europe,4
8,China,578
8,India,0
8,Italy,0
8,NL,0
8,USA,1
8,Wave 3,0
8,Western Europe,1
9,China,2054
9,India,1
9,Italy,0
9,NL,0
9,USA,0
9,Wave 3,0
9,Western Europe,0
10,China,1661
10,India,0
10,Italy,2
10,NL,0
10,USA,2
10,Wave 3,2
10,Western Europe,3
11,China,2089
11,India,0
11,Italy,0
11,NL,0
11,USA,0
11,Wave 3,0
11,Western Europe,5
12,China,4739
12,India,1
12,Italy,0
12,NL,0
12,USA,0
12,Wave 3,0
12,Western Europe,2
13,China,3086
13,India,1
13,Italy,0
13,NL,0
13,USA,3
13,Wave 3,0
13,Western Europe,8
14,China,3991
14,India,0
14,Italy,0
14,NL,0
14,USA,0
14,Wave 3,0
14,Western Europe,1
15,China,3733
15,India,0
15,Italy,0
15,NL,0
15,USA,0
15,Wave 3,0
15,Western Europe,1
16,China,3147
16,India,0
16,Italy,0
16,NL,0
16,USA,1
16,Wave 3,0
16,Western Europe,0
17,China,3523
17,India,0
17,Italy,1
17,NL,0
17,USA,0
17,Wave 3,0
17,Western Europe,1
18,China,2704
18,India,0
18,Italy,0
18,NL,0
18,USA,0
18,Wave 3,0
18,Western Europe,9
19,China,3015
19,India,0
19,Italy,0
19,NL,0
19,USA,0
19,Wave 3,0
19,Western Europe,3
20,China,2525
20,India,0
20,Italy,0
20,NL,0
20,USA,0
20,Wave 3,0
20,Western Europe,0
21,China,2032
21,India,0
21,Italy,0
21,NL,0
21,USA,1
21,Wave 3,0
21,Western Europe,3
22,China,373
22,India,0
22,Italy,0
22,NL,0
22,USA,0
22,Wave 3,0
22,Western Europe,1
23,China,15136
23,India,0
23,Italy,0
23,NL,0
23,USA,1
23,Wave 3,0
23,Western Europe,1
24,China,6463
24,India,0
24,Italy,0
24,NL,0
24,USA,0
24,Wave 3,0
24,Western Europe,1
25,China,2055
25,India,0
25,Italy,0
25,NL,0
25,USA,0
25,Wave 3,0
25,Western Europe,1
26,China,2100
26,India,0
26,Italy,0
26,NL,0
26,USA,0
26,Wave 3,0
26,Western Europe,0
27,China,1921
27,India,0
27,Italy,0
27,NL,0
27,USA,0
27,Wave 3,0
27,Western Europe,1
28,China,1777
28,India,0
28,Italy,0
28,NL,0
28,USA,0
28,Wave 3,0
28,Western Europe,0
29,China,408
29,India,0
29,Italy,0
29,NL,0
29,USA,0
29,Wave 3,0
29,Western Europe,1
30,China,458
30,India,0
30,Italy,0
30,NL,0
30,USA,0
30,Wave 3,0
30,Western Europe,2
31,China,473
31,India,0
31,Italy,17
31,NL,0
31,USA,2
31,Wave 3,0
31,Western Europe,1
32,China,1451
32,India,0
32,Italy,42
32,NL,0
32,USA,0
32,Wave 3,0
32,Western Europe,0
33,China,21
33,India,0
33,Italy,93
33,NL,0
33,USA,0
33,Wave 3,0
33,Western Europe,5
34,China,219
34,India,0
34,Italy,74
34,NL,0
34,USA,0
34,Wave 3,0
34,Western Europe,2
35,China,513
35,India,0
35,Italy,93
35,NL,0
35,USA,0
35,Wave 3,0
35,Western Europe,11
36,China,412
36,India,0
36,Italy,131
36,NL,0
36,USA,0
36,Wave 3,1
36,Western Europe,24
37,China,434
37,India,0
37,Italy,202
37,NL,1
37,USA,1
37,Wave 3,0
37,Western Europe,48
38,China,328
38,India,0
38,Italy,233
38,NL,0
38,USA,0
38,Wave 3,1
38,Western Europe,50
39,China,428
39,India,0
39,Italy,240
39,NL,5
39,USA,8
39,Wave 3,4
39,Western Europe,92
40,China,576
40,India,0
40,Italy,566
40,NL,4
40,USA,7
40,Wave 3,1
40,Western Europe,154
41,China,204
41,India,2
41,Italy,342
41,NL,8
41,USA,23
41,Wave 3,2
41,Western Europe,172
42,China,125
42,India,0
42,Italy,466
42,NL,6
42,USA,19
42,Wave 3,0
42,Western Europe,163
43,China,125
43,India,23
43,Italy,587
43,NL,14
43,USA,33
43,Wave 3,2
43,Western Europe,266
44,China,151
44,India,2
44,Italy,769
44,NL,44
44,USA,77
44,Wave 3,5
44,Western Europe,471
45,China,153
45,India,1
45,Italy,778
45,NL,46
45,USA,53
45,Wave 3,20
45,Western Europe,657
46,China,80
46,India,3
46,Italy,1247
46,NL,60
46,USA,166
46,Wave 3,0
46,Western Europe,676
47,China,53
47,India,5
47,Italy,1492
47,NL,77
47,USA,116
47,Wave 3,26
47,Western Europe,676
48,China,37
48,India,4
48,Italy,1797
48,NL,56
48,USA,75
48,Wave 3,10
48,Western Europe,1008
49,China,27
49,India,13
49,Italy,977
49,NL,61
49,USA,188
49,Wave 3,18
49,Western Europe,1562
50,China,34
50,India,6
50,Italy,2313
50,NL,121
50,USA,365
50,Wave 3,9
50,Western Europe,2002
51,China,11
51,India,11
51,Italy,2651
51,NL,0
51,USA,439
51,Wave 3,54
51,Western Europe,659
52,China,13
52,India,9
52,Italy,2547
52,NL,303
52,USA,633
52,Wave 3,184
52,Western Europe,6665
53,China,32
53,India,20
53,Italy,3497
53,NL,156
53,USA,759
53,Wave 3,56
53,Western Europe,3378
54,China,26
54,India,11
54,Italy,3590
54,NL,176
54,USA,234
54,Wave 3,34
54,Western Europe,3293
55,China,30
55,India,6
55,Italy,3233
55,NL,278
55,USA,1467
55,Wave 3,155
55,Western Europe,6559
56,China,25
56,India,23
56,Italy,3526
56,NL,295
56,USA,1833
56,Wave 3,242
56,Western Europe,5778
57,China,44
57,India,14
57,Italy,4207
57,NL,347
57,USA,2657
57,Wave 3,141
57,Western Europe,7889
58,China,54
58,India,38
58,Italy,5322
58,NL,409
58,USA,4494
58,Wave 3,542
58,Western Europe,10267
59,China,94
59,India,50
59,Italy,5986
59,NL,536
59,USA,6367
59,Wave 3,338
59,Western Europe,10483
60,China,55
60,India,86
60,Italy,6557
60,NL,637
60,USA,5995
60,Wave 3,466
60,Western Europe,10807
61,China,130
61,India,66
61,Italy,5560
61,NL,577
61,USA,8873
61,Wave 3,817
61,Western Europe,10324
62,China,63
62,India,103
62,Italy,4789
62,NL,547
62,USA,11238
62,Wave 3,589
62,Western Europe,16607
63,China,93
63,India,37
63,Italy,5249
63,NL,816
63,USA,10619
63,Wave 3,650
63,Western Europe,13836
64,China,70
64,India,121
64,Italy,5210
64,NL,858
64,USA,12082
64,Wave 3,737
64,Western Europe,20314
65,China,121
65,India,70
65,Italy,6203
65,NL,1030
65,USA,17856
65,Wave 3,940
65,Western Europe,23229
66,China,115
66,India,160
66,Italy,5909
66,NL,1179
66,USA,18690
66,Wave 3,911
66,Western Europe,22959
67,China,102
67,India,100
67,Italy,5974
67,NL,1172
67,USA,19630
67,Wave 3,981
