time,location,growth
2,USA,0
2,NL,0
2,Italy,0
2,China,95
2,Other,4
3,USA,1
3,NL,0
3,Italy,0
3,China,277
3,Other,9
4,USA,0
4,NL,0
4,Italy,0
4,China,486
4,Other,7
5,USA,3
5,NL,0
5,Italy,0
5,China,669
5,Other,12
6,USA,0
6,NL,0
6,Italy,0
6,China,802
6,Other,7
7,USA,0
7,NL,0
7,Italy,0
7,China,2632
7,Other,19
8,USA,0
8,NL,0
8,Italy,0
8,China,578
8,Other,10
9,USA,0
9,NL,0
9,Italy,0
9,China,2054
9,Other,14
10,USA,2
10,NL,0
10,Italy,2
10,China,1661
10,Other,28
11,USA,1
11,NL,0
11,Italy,0
11,China,2089
11,Other,21
12,USA,0
12,NL,0
12,Italy,0
12,China,4739
12,Other,10
13,USA,3
13,NL,0
13,Italy,0
13,China,3086
13,Other,5
14,USA,0
14,NL,0
14,Italy,0
14,China,3991
14,Other,20
15,USA,0
15,NL,0
15,Italy,0
15,China,3733
15,Other,10
16,USA,0
16,NL,0
16,Italy,0
16,China,3147
16,Other,12
17,USA,0
17,NL,0
17,Italy,1
17,China,3523
17,Other,73
18,USA,0
18,NL,0
18,Italy,0
18,China,2704
18,Other,25
19,USA,0
19,NL,0
19,Italy,0
19,China,3015
19,Other,15
20,USA,0
20,NL,0
20,Italy,0
20,China,2525
20,Other,87
21,USA,1
21,NL,0
21,Italy,0
21,China,2032
21,Other,7
22,USA,0
22,NL,0
22,Italy,0
22,China,373
22,Other,46
23,USA,1
23,NL,0
23,Italy,0
23,China,15136
23,Other,10
24,USA,0
24,NL,0
24,Italy,0
24,China,6463
24,Other,54
25,USA,0
25,NL,0
25,Italy,0
25,China,2055
25,Other,90
26,USA,0
26,NL,0
26,Italy,0
26,China,2100
26,Other,94
27,USA,0
27,NL,0
27,Italy,0
27,China,1921
27,Other,113
28,USA,0
28,NL,0
28,Italy,0
28,China,1777
28,Other,101
29,USA,0
29,NL,0
29,Italy,0
29,China,408
29,Other,95
30,USA,0
30,NL,0
30,Italy,0
30,China,458
30,Other,100
31,USA,2
31,NL,0
31,Italy,17
31,China,473
31,Other,130
32,USA,0
32,NL,0
32,Italy,42
32,China,1451
32,Other,260
33,USA,0
33,NL,0
33,Italy,93
33,China,21
33,Other,272
34,USA,36
34,NL,0
34,Italy,74
34,China,219
34,Other,274
35,USA,0
35,NL,0
35,Italy,93
35,China,513
35,Other,239
36,USA,6
36,NL,0
36,Italy,131
36,China,412
36,Other,433
37,USA,1
37,NL,1
37,Italy,202
37,China,434
37,Other,720
38,USA,2
38,NL,0
38,Italy,233
38,China,328
38,Other,803
39,USA,8
39,NL,5
39,Italy,240
39,China,428
39,Other,1218
40,USA,6
40,NL,4
40,Italy,566
40,China,576
40,Other,1206
41,USA,24
41,NL,8
41,Italy,342
41,China,204
41,Other,1359
42,USA,20
42,NL,6
42,Italy,466
42,China,125
42,Other,1917
43,USA,31
43,NL,14
43,Italy,587
43,China,125
43,Other,1523
44,USA,68
44,NL,44
44,Italy,769
44,China,151
44,Other,1734
45,USA,45
45,NL,46
45,Italy,778
45,China,153
45,Other,2893
46,USA,140
46,NL,60
46,Italy,1247
46,China,80
46,Other,2519
47,USA,116
47,NL,77
47,Italy,1492
47,China,53
47,Other,2236
48,USA,65
48,NL,56
48,Italy,1797
48,China,37
48,Other,1814
49,USA,376
49,NL,61
49,Italy,977
49,China,27
49,Other,3589
50,USA,322
50,NL,121
50,Italy,2313
50,China,34
50,Other,4465
51,USA,382
51,NL,0
51,Italy,0
51,China,11
51,Other,2084
52,USA,516
52,NL,303
52,Italy,5198
52,China,13
52,Other,10823
53,USA,548
53,NL,156
53,Italy,3497
53,China,32
53,Other,6663
54,USA,772
54,NL,176
54,Italy,3590
54,China,26
54,Other,6789
55,USA,1133
55,NL,278
55,Italy,3233
55,China,30
55,Other,9446
56,USA,1789
56,NL,295
56,Italy,3526
56,China,25
56,Other,9893
57,USA,1362
57,NL,347
57,Italy,4207
57,China,44
57,Other,11759
58,USA,5894
58,NL,409
58,Italy,5322
58,China,54
58,Other,16000
59,USA,5423
59,NL,536
59,Italy,5986
59,China,94
59,Other,17496
60,USA,6389
60,NL,637
60,Italy,6557
60,China,55
60,Other,18723
61,USA,7787
61,NL,577
61,Italy,5560
61,China,130
61,Other,18503
62,USA,10571
62,NL,547
62,Italy,4789
62,China,63
62,Other,25312
63,USA,9893
63,NL,816
63,Italy,5249
63,China,93
63,Other,23759
64,USA,12038
64,NL,858
64,Italy,5210
64,China,70
64,Other,31432
65,USA,18058
65,NL,1030
65,Italy,6203
65,China,121
65,Other,36526
