time,location,deaths,cases,date
2,NL,0,0,2020-01-23
3,NL,0,0,2020-01-24
4,NL,0,0,2020-01-25
5,NL,0,0,2020-01-26
6,NL,0,0,2020-01-27
7,NL,0,0,2020-01-28
8,NL,0,0,2020-01-29
9,NL,0,0,2020-01-30
10,NL,0,0,2020-01-31
11,NL,0,0,2020-02-01
12,NL,0,0,2020-02-02
13,NL,0,0,2020-02-03
14,NL,0,0,2020-02-04
15,NL,0,0,2020-02-05
16,NL,0,0,2020-02-06
17,NL,0,0,2020-02-07
18,NL,0,0,2020-02-08
19,NL,0,0,2020-02-09
20,NL,0,0,2020-02-10
21,NL,0,0,2020-02-11
22,NL,0,0,2020-02-12
23,NL,0,0,2020-02-13
24,NL,0,0,2020-02-14
25,NL,0,0,2020-02-15
26,NL,0,0,2020-02-16
27,NL,0,0,2020-02-17
28,NL,0,0,2020-02-18
29,NL,0,0,2020-02-19
30,NL,0,0,2020-02-20
31,NL,0,0,2020-02-21
32,NL,0,0,2020-02-22
33,NL,0,0,2020-02-23
34,NL,0,0,2020-02-24
35,NL,0,0,2020-02-25
36,NL,0,0,2020-02-26
37,NL,0,1,2020-02-27
38,NL,0,0,2020-02-28
39,NL,0,5,2020-02-29
40,NL,0,4,2020-03-01
41,NL,0,8,2020-03-02
42,NL,0,6,2020-03-03
43,NL,0,14,2020-03-04
44,NL,0,44,2020-03-05
45,NL,1,46,2020-03-06
46,NL,0,60,2020-03-07
47,NL,2,77,2020-03-08
48,NL,0,56,2020-03-09
49,NL,1,61,2020-03-10
50,NL,1,121,2020-03-11
51,NL,0,0,2020-03-12
52,NL,5,303,2020-03-13
53,NL,2,156,2020-03-14
54,NL,8,176,2020-03-15
55,NL,4,278,2020-03-16
56,NL,19,295,2020-03-17
57,NL,15,347,2020-03-18
58,NL,19,409,2020-03-19
59,NL,30,536,2020-03-20
60,NL,30,637,2020-03-21
61,NL,43,577,2020-03-22
62,NL,34,547,2020-03-23
63,NL,63,816,2020-03-24
64,NL,80,858,2020-03-25
65,NL,78,1030,2020-03-26
66,NL,112,1179,2020-03-27
67,NL,93,1172,2020-03-28
68,NL,132,1111,2020-03-29
69,NL,93,887,2020-03-30
70,NL,175,850,2020-03-31
71,NL,135,1029,2020-04-01
72,NL,166,1092,2020-04-02
73,NL,149,1033,2020-04-03
74,NL,166,906,2020-04-04
75,NL,115,1226,2020-04-05
76,NL,103,973,2020-04-06
77,NL,234,783,2020-04-07
78,NL,147,973,2020-04-08
79,NL,148,1221,2020-04-09
80,NL,117,1346,2020-04-10
81,NL,133,1322,2020-04-11
82,NL,94,1175,2020-04-12
83,NL,86,964,2020-04-13
84,NL,122,870,2020-04-14
85,NL,190,736,2020-04-15
86,NL,182,1067,2020-04-16
87,NL,144,1236,2020-04-17
88,NL,142,1147,2020-04-18
89,NL,84,1072,2020-04-19
90,NL,67,750,2020-04-20
91,NL,165,729,2020-04-21
92,NL,139,715,2020-04-22
93,NL,124,889,2020-04-23
94,NL,112,808,2020-04-24
95,NL,120,655,2020-04-25
96,NL,67,656,2020-04-26
97,NL,43,400,2020-04-27
98,NL,48,172,2020-04-28
99,NL,145,386,2020-04-29
100,NL,84,514,2020-04-30
101,NL,98,477,2020-05-01
102,NL,94,445,2020-05-02
103,NL,69,335,2020-05-03
104,NL,26,199,2020-05-04
105,NL,87,318,2020-05-05
106,NL,36,232,2020-05-06
107,NL,85,455,2020-05-07
108,NL,71,319,2020-05-08
109,NL,64,289,2020-05-09
110,NL,18,245,2020-05-10
111,NL,16,161,2020-05-11
112,NL,54,196,2020-05-12
113,NL,52,227,2020-05-13
114,NL,28,270,2020-05-14
115,NL,53,200,2020-05-15
116,NL,27,190,2020-05-16
117,NL,10,125,2020-05-17
118,NL,14,146,2020-05-18
119,NL,21,108,2020-05-19
120,NL,33,198,2020-05-20
121,NL,27,253,2020-05-21
122,NL,13,188,2020-05-22
