time,location,count
1,China,548
1,Italy,1e-5
1,NL,1e-5
1,Other,5
1,South Korea,1
1,Spain,1e-5
1,USA,1
2,China,643
2,Italy,1e-5
2,NL,1e-5
2,Other,8
2,South Korea,1
2,Spain,1e-5
2,USA,1
3,China,920
3,Italy,1e-5
3,NL,1e-5
3,Other,17
3,South Korea,2
3,Spain,1e-5
3,USA,2
4,China,1406
4,Italy,1e-5
4,NL,1e-5
4,Other,24
4,South Korea,2
4,Spain,1e-5
4,USA,2
5,China,2075
5,Italy,1e-5
5,NL,1e-5
5,Other,35
5,South Korea,3
5,Spain,1e-5
5,USA,5
6,China,2877
6,Italy,1e-5
6,NL,1e-5
6,Other,41
6,South Korea,4
6,Spain,1e-5
6,USA,5
7,China,5509
7,Italy,1e-5
7,NL,1e-5
7,Other,60
7,South Korea,4
7,Spain,1e-5
7,USA,5
8,China,6087
8,Italy,1e-5
8,NL,1e-5
8,Other,70
8,South Korea,4
8,Spain,1e-5
8,USA,5
9,China,8141
9,Italy,1e-5
9,NL,1e-5
9,Other,84
9,South Korea,4
9,Spain,1e-5
9,USA,5
10,China,9802
10,Italy,2
10,NL,1e-5
10,Other,105
10,South Korea,11
10,Spain,1e-5
10,USA,7
11,China,11891
11,Italy,2
11,NL,1e-5
11,Other,124
11,South Korea,12
11,Spain,1
11,USA,8
12,China,16630
12,Italy,2
12,NL,1e-5
12,Other,131
12,South Korea,15
12,Spain,1
12,USA,8
13,China,19716
13,Italy,2
13,NL,1e-5
13,Other,136
13,South Korea,15
13,Spain,1
13,USA,11
14,China,23707
14,Italy,2
14,NL,1e-5
14,Other,155
14,South Korea,16
14,Spain,1
14,USA,11
15,China,27440
15,Italy,2
15,NL,1e-5
15,Other,162
15,South Korea,19
15,Spain,1
15,USA,11
16,China,30587
16,Italy,2
16,NL,1e-5
16,Other,193
16,South Korea,23
16,Spain,1
16,USA,11
17,China,34110
17,Italy,3
17,NL,1e-5
17,Other,242
17,South Korea,24
17,Spain,1
17,USA,11
18,China,36814
18,Italy,3
18,NL,1e-5
18,Other,267
18,South Korea,24
18,Spain,1
18,USA,11
