time,location,count
1,California,0
1,New Jersey,0
1,New York,0
1,Other,1
1,Washington,0
2,California,0
2,New Jersey,0
2,New York,0
2,Other,1
2,Washington,0
3,California,0
3,New Jersey,0
3,New York,0
3,Other,2
3,Washington,0
4,California,0
4,New Jersey,0
4,New York,0
4,Other,2
4,Washington,0
5,California,0
5,New Jersey,0
5,New York,0
5,Other,5
5,Washington,0
6,California,0
6,New Jersey,0
6,New York,0
6,Other,5
6,Washington,0
7,California,0
7,New Jersey,0
7,New York,0
7,Other,5
7,Washington,0
8,California,0
8,New Jersey,0
8,New York,0
8,Other,5
8,Washington,0
9,California,0
9,New Jersey,0
9,New York,0
9,Other,5
9,Washington,0
10,California,0
10,New Jersey,0
10,New York,0
10,Other,7
10,Washington,0
11,California,0
11,New Jersey,0
11,New York,0
11,Other,8
11,Washington,0
12,California,0
12,New Jersey,0
12,New York,0
12,Other,8
12,Washington,0
13,California,0
13,New Jersey,0
13,New York,0
13,Other,11
13,Washington,0
14,California,0
14,New Jersey,0
14,New York,0
14,Other,11
14,Washington,0
15,California,0
15,New Jersey,0
15,New York,0
15,Other,11
15,Washington,0
16,California,0
16,New Jersey,0
16,New York,0
16,Other,11
16,Washington,0
17,California,0
17,New Jersey,0
17,New York,0
17,Other,11
17,Washington,0
18,California,0
18,New Jersey,0
18,New York,0
18,Other,11
18,Washington,0
19,California,0
19,New Jersey,0
19,New York,0
19,Other,11
19,Washington,0
20,California,0
20,New Jersey,0
20,New York,0
20,Other,11
20,Washington,0
21,California,0
21,New Jersey,0
21,New York,0
21,Other,12
21,Washington,0
22,California,0
22,New Jersey,0
22,New York,0
22,Other,12
22,Washington,0
23,California,0
23,New Jersey,0
23,New York,0
23,Other,13
23,Washington,0
24,California,0
24,New Jersey,0
24,New York,0
24,Other,13
24,Washington,0
25,California,0
25,New Jersey,0
25,New York,0
25,Other,13
25,Washington,0
26,California,0
26,New Jersey,0
26,New York,0
26,Other,13
26,Washington,0
27,California,0
27,New Jersey,0
27,New York,0
27,Other,13
27,Washington,0
28,California,0
28,New Jersey,0
28,New York,0
28,Other,13
28,Washington,0
29,California,0
29,New Jersey,0
29,New York,0
29,Other,13
29,Washington,0
30,California,0
30,New Jersey,0
30,New York,0
30,Other,13
30,Washington,0
31,California,0
31,New Jersey,0
31,New York,0
31,Other,15
31,Washington,0
32,California,0
32,New Jersey,0
32,New York,0
32,Other,15
32,Washington,0
33,California,0
33,New Jersey,0
33,New York,0
33,Other,15
33,Washington,0
34,California,0
34,New Jersey,0
34,New York,0
34,Other,51
34,Washington,0
35,California,0
35,New Jersey,0
35,New York,0
35,Other,51
35,Washington,0
36,California,0
36,New Jersey,0
36,New York,0
36,Other,57
36,Washington,0
37,California,0
37,New Jersey,0
37,New York,0
37,Other,58
37,Washington,0
38,California,0
38,New Jersey,0
38,New York,0
38,Other,60
38,Washington,0
39,California,0
39,New Jersey,0
39,New York,0
39,Other,68
39,Washington,0
40,California,0
40,New Jersey,0
40,New York,0
40,Other,74
40,Washington,0
41,California,0
41,New Jersey,0
41,New York,0
41,Other,98
41,Washington,0
42,California,0
42,New Jersey,0
42,New York,0
42,Other,118
42,Washington,0
43,California,0
43,New Jersey,0
43,New York,0
43,Other,149
43,Washington,0
44,California,0
44,New Jersey,0
44,New York,0
44,Other,217
44,Washington,0
45,California,0
45,New Jersey,0
45,New York,0
45,Other,262
45,Washington,0
46,California,0
46,New Jersey,0
46,New York,0
46,Other,402
46,Washington,0
47,California,0
47,New Jersey,0
47,New York,0
47,Other,518
47,Washington,0
48,California,0
48,New Jersey,0
48,New York,0
48,Other,583
48,Washington,0
49,California,144
49,New Jersey,15
49,New York,173
49,Other,360
49,Washington,267
50,California,177
50,New Jersey,23
50,New York,220
50,Other,495
50,Washington,366
51,California,221
51,New Jersey,29
51,New York,328
51,Other,643
51,Washington,442
52,California,282
52,New Jersey,29
52,New York,421
52,Other,879
52,Washington,568
53,California,340
53,New Jersey,69
53,New York,525
53,Other,1221
53,Washington,572
54,California,426
54,New Jersey,98
54,New York,732
54,Other,1600
54,Washington,643
55,California,557
55,New Jersey,178
55,New York,967
55,Other,2026
55,Washington,904
56,California,698
56,New Jersey,267
56,New York,1706
56,Other,2674
56,Washington,1076
57,California,751
57,New Jersey,267
57,New York,2495
57,Other,3256
57,Washington,1014
58,California,952
58,New Jersey,742
58,New York,5365
58,Other,5242
58,Washington,1376
59,California,1177
59,New Jersey,890
59,New York,8310
59,Other,7199
59,Washington,1524
60,California,1364
60,New Jersey,1327
60,New York,11710
60,Other,9295
60,Washington,1793
