time,location,count
1,CA,0
1,MA,0
1,MI,0
1,NJ,0
1,NY,0
1,Other,1
2,CA,0
2,MA,0
2,MI,0
2,NJ,0
2,NY,0
2,Other,1
3,CA,0
3,MA,0
3,MI,0
3,NJ,0
3,NY,0
3,Other,2
4,CA,0
4,MA,0
4,MI,0
4,NJ,0
4,NY,0
4,Other,2
5,CA,2
5,MA,0
5,MI,0
5,NJ,0
5,NY,0
5,Other,3
6,CA,2
6,MA,0
6,MI,0
6,NJ,0
6,NY,0
6,Other,3
7,CA,2
7,MA,0
7,MI,0
7,NJ,0
7,NY,0
7,Other,3
8,CA,2
8,MA,0
8,MI,0
8,NJ,0
8,NY,0
8,Other,3
9,CA,2
9,MA,0
9,MI,0
9,NJ,0
9,NY,0
9,Other,3
10,CA,3
10,MA,0
10,MI,0
10,NJ,0
10,NY,0
10,Other,4
11,CA,3
11,MA,1
11,MI,0
11,NJ,0
11,NY,0
11,Other,4
12,CA,3
12,MA,1
12,MI,0
12,NJ,0
12,NY,0
12,Other,4
13,CA,6
13,MA,1
13,MI,0
13,NJ,0
13,NY,0
13,Other,4
14,CA,6
14,MA,1
14,MI,0
14,NJ,0
14,NY,0
14,Other,4
15,CA,6
15,MA,1
15,MI,0
15,NJ,0
15,NY,0
15,Other,4
16,CA,6
16,MA,1
16,MI,0
16,NJ,0
16,NY,0
16,Other,4
17,CA,6
17,MA,1
17,MI,0
17,NJ,0
17,NY,0
17,Other,4
18,CA,6
18,MA,1
18,MI,0
18,NJ,0
18,NY,0
18,Other,4
19,CA,6
19,MA,1
19,MI,0
19,NJ,0
19,NY,0
19,Other,4
20,CA,6
20,MA,1
20,MI,0
20,NJ,0
20,NY,0
20,Other,4
21,CA,7
21,MA,1
21,MI,0
21,NJ,0
21,NY,0
21,Other,4
22,CA,7
22,MA,1
22,MI,0
22,NJ,0
22,NY,0
22,Other,4
23,CA,8
23,MA,1
23,MI,0
23,NJ,0
23,NY,0
23,Other,4
24,CA,8
24,MA,1
24,MI,0
24,NJ,0
24,NY,0
24,Other,4
25,CA,8
25,MA,1
25,MI,0
25,NJ,0
25,NY,0
25,Other,4
26,CA,8
26,MA,1
26,MI,0
26,NJ,0
26,NY,0
26,Other,4
27,CA,8
27,MA,1
27,MI,0
27,NJ,0
27,NY,0
27,Other,4
28,CA,8
28,MA,1
28,MI,0
28,NJ,0
28,NY,0
28,Other,4
29,CA,8
29,MA,1
29,MI,0
29,NJ,0
29,NY,0
29,Other,4
30,CA,8
30,MA,1
30,MI,0
30,NJ,0
30,NY,0
30,Other,4
31,CA,10
31,MA,1
31,MI,0
31,NJ,0
31,NY,0
31,Other,4
32,CA,10
32,MA,1
32,MI,0
32,NJ,0
32,NY,0
32,Other,4
33,CA,10
33,MA,1
33,MI,0
33,NJ,0
33,NY,0
33,Other,4
34,CA,10
34,MA,1
34,MI,0
34,NJ,0
34,NY,0
34,Other,4
35,CA,10
35,MA,1
35,MI,0
35,NJ,0
35,NY,0
35,Other,4
36,CA,10
36,MA,1
36,MI,0
36,NJ,0
36,NY,0
36,Other,4
37,CA,11
37,MA,1
37,MI,0
37,NJ,0
37,NY,0
37,Other,4
38,CA,11
38,MA,1
38,MI,0
38,NJ,0
