date,time,location,count,growth
2020-01-23,2,China,643,95
2020-01-24,3,China,920,277
2020-01-25,4,China,1406,486
2020-01-26,5,China,2075,669
2020-01-27,6,China,2877,802
2020-01-28,7,China,5509,2632
2020-01-29,8,China,6087,578
2020-01-30,9,China,8141,2054
2020-01-31,10,China,9802,1661
2020-02-01,11,China,11891,2089
2020-02-02,12,China,16630,4739
2020-02-03,13,China,19716,3086
2020-02-04,14,China,23707,3991
2020-02-05,15,China,27440,3733
2020-02-06,16,China,30587,3147
2020-02-07,17,China,34110,3523
2020-02-08,18,China,36814,2704
2020-02-09,19,China,39829,3015
2020-02-10,20,China,42354,2525
2020-02-11,21,China,44386,2032
2020-02-12,22,China,44759,373
2020-02-13,23,China,59895,15136
2020-02-14,24,China,66358,6463
2020-02-15,25,China,68413,2055
2020-02-16,26,China,70513,2100
2020-02-17,27,China,72434,1921
2020-02-18,28,China,74211,1777
2020-02-19,29,China,74619,408
2020-02-20,30,China,75077,458
2020-02-21,31,China,75550,473
2020-02-22,32,China,77001,1451
2020-02-23,33,China,77022,21
2020-02-24,34,China,77241,219
2020-02-25,35,China,77754,513
2020-02-26,36,China,78166,412
2020-02-27,37,China,78600,434
2020-02-28,38,China,78928,328
2020-02-29,39,China,79356,428
2020-03-01,40,China,79932,576
2020-03-02,41,China,80136,204
2020-03-03,42,China,80261,125
2020-03-04,43,China,80386,125
2020-03-05,44,China,80537,151
2020-03-06,45,China,80690,153
2020-03-07,46,China,80770,80
2020-03-08,47,China,80823,53
2020-03-09,48,China,80860,37
2020-03-10,49,China,80887,27
2020-03-11,50,China,80921,34
2020-03-12,51,China,80932,11
2020-03-13,52,China,80945,13
2020-03-14,53,China,80977,32
2020-03-15,54,China,81003,26
2020-03-16,55,China,81033,30
2020-03-17,56,China,81058,25
2020-03-18,57,China,81102,44
2020-03-19,58,China,81156,54
2020-03-20,59,China,81250,94
2020-03-21,60,China,81305,55
2020-03-22,61,China,81435,130
2020-03-23,62,China,81498,63
2020-03-24,63,China,81591,93
2020-03-25,64,China,81661,70
2020-03-26,65,China,81782,121
2020-03-27,66,China,81897,115
2020-03-28,67,China,81999,102
2020-03-29,68,China,82122,123
2020-03-30,69,China,82198,76
2020-03-31,70,China,82279,81
2020-04-01,71,China,82361,82
2020-04-02,72,China,82432,71
2020-04-03,73,China,82511,79
2020-04-04,74,China,82543,32
2020-04-05,75,China,82602,59
2020-04-06,76,China,82665,63
2020-04-07,77,China,82718,53
2020-04-08,78,China,82809,91
2020-04-09,79,China,82883,74
2020-04-10,80,China,82941,58
2020-04-11,81,China,83014,73
2020-04-12,82,China,83134,120
2020-04-13,83,China,83213,79
2020-04-14,84,China,83306,93
2020-04-15,85,China,83356,50
2020-04-16,86,China,83403,47
2020-04-17,87,China,83760,357
