lastupdated,province,infections,casualties,date,state
2020-03-23 23:19:34,Alabama,196,0,2020-03-23,Other
2020-03-23 23:19:34,Alaska,30,0,2020-03-23,Other
2020-03-23 23:19:34,American Samoa,0,0,2020-03-23,Other
2020-03-23 23:19:34,Arizona,235,2,2020-03-23,Other
2020-03-23 23:19:34,Arkansas,192,0,2020-03-23,Other
2020-03-23 23:19:34,California,2108,39,2020-03-23,CA
2020-03-23 23:19:34,Colorado,704,7,2020-03-23,Other
2020-03-23 23:19:34,Connecticut,415,10,2020-03-23,Other
2020-03-23 23:19:34,Delaware,68,0,2020-03-23,Other
2020-03-23 23:19:34,Diamond Princess,49,0,2020-03-23,Other
2020-03-23 23:19:34,District of Columbia,120,2,2020-03-23,Other
2020-03-23 23:19:34,Florida,1227,18,2020-03-23,Other
2020-03-23 23:19:34,Georgia,772,25,2020-03-23,Other
2020-03-23 23:19:34,Grand Princess,28,1,2020-03-23,Other
2020-03-23 23:19:34,Guam,29,1,2020-03-23,Other
2020-03-23 23:19:34,Hawaii,56,0,2020-03-23,Other
2020-03-23 23:19:34,Idaho,68,0,2020-03-23,Other
2020-03-23 23:19:34,Illinois,1285,12,2020-03-23,Other
2020-03-23 23:19:34,Indiana,270,7,2020-03-23,Other
2020-03-23 23:19:34,Iowa,105,0,2020-03-23,Other
2020-03-23 23:19:34,Kansas,84,2,2020-03-23,Other
2020-03-23 23:19:34,Kentucky,123,4,2020-03-23,Other
2020-03-23 23:19:34,Louisiana,1172,35,2020-03-23,Other
2020-03-23 23:19:34,Maine,107,0,2020-03-23,Other
2020-03-23 23:19:34,Maryland,290,3,2020-03-23,Other
2020-03-23 23:19:34,Massachusetts,777,9,2020-03-23,Other
2020-03-23 23:19:34,Michigan,1329,15,2020-03-23,Other
2020-03-23 23:19:34,Minnesota,234,1,2020-03-23,Other
2020-03-23 23:19:34,Mississippi,249,1,2020-03-23,Other
2020-03-23 23:19:34,Missouri,187,4,2020-03-23,Other
2020-03-23 23:19:34,Montana,34,0,2020-03-23,Other
2020-03-23 23:19:34,Nebraska,51,0,2020-03-23,Other
2020-03-23 23:19:34,Nevada,245,4,2020-03-23,Other
